class,tweet
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1,""" &amp; you might not get ya bitch back &amp; thats that """
1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
1,""" Murda Gang bitch its Gang Land """
1,""" So hoes that smoke are losers ? "" yea ... go on IG"
1,""" bad bitches is the only thing that i like """
1,""" bitch get up off me """
1,""" bitch nigga miss me with it """
1,""" bitch plz whatever """
1,""" bitch who do you love """
1,""" bitches get cut off everyday B """
1,""" black bottle &amp; a bad bitch """
1,""" broke bitch cant tell me nothing """
1,""" cancel that bitch like Nino """
1,""" cant you see these hoes wont change """
1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
1,""" her pussy lips like Heaven doors "" &#128524;"
1,""" hoe what its hitting for """
1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
1,""" i need a trippy bitch who fuck on Hennessy """
1,""" i spend my money how i want bitch its my business """
1,""" i txt my old bitch my new bitch pussy wetter """
1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
1,""" if you aint bout that Murder Game pussy nigga shut up """
1,""" if you're toes ain't done you pussy stinks """
1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
1,""" is that ya bitch """
1,""" it aint nothing to cut a bitch off """
1,""" jus meet son now he ya mane ass bitches "" #Shots"
1,""" lames crying over hoes thats tears of a clown """
1,""" like Snoop said in 94 we dont love these hoes """
1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
1,""" pimps up pimps up hoes down "" Future voice"
1,""" post a picture of that pussy get 200 likes """
1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
1,""" quick piece of pussy call it a drive by """
1,""" running round here like some brand new pussy thats bout to get fucked """
1,""" these bitches even worst they'll send them guys for you """
1,""" these hoes like niggas that spend money not talk bout it """
1,""" we dont trust these niggas all these bitches """
1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
1,""" young Pill Chamberlain these bitches love my music """
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
1,"""&amp; he's gone always be a hoe"""
1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
1,"""@A7XDemery: I'm a fucking fag they said"""
1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
1,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
1,"""@Dietrich1892: Yall shut up:p"" make me bitch"
1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
